id,diet,pulse,time,kind
1,low fat,85,1,rest
1,low fat,85,15,rest
1,low fat,88,30,rest
2,low fat,90,1,rest
2,low fat,92,15,rest
2,low fat,93,30,rest
3,low fat,97,1,rest
3,low fat,97,15,rest
3,low fat,94,30,rest
4,low fat,80,1,rest
4,low fat,82,15,rest
4,low fat,83,30,rest
5,low fat,91,1,rest
5,low fat,92,15,rest
5,low fat,91,30,rest
6,no fat,83,1,rest
6,no fat,83,15,rest
6,no fat,84,30,rest
7,no fat,87,1,rest
7,no fat,88,15,rest
7,no fat,90,30,rest
8,no fat,92,1,rest
8,no fat,94,15,rest
8,no fat,95,30,rest
9,no fat,97,1,rest
9,no fat,99,15,rest
9,no fat,96,30,rest
10,no fat,100,1,rest
10,no fat,97,15,rest
10,no fat,100,30,rest
11,low fat,86,1,walking
11,low fat,86,15,walking
11,low fat,84,30,walking
12,low fat,93,1,walking
12,low fat,103,15,walking
12,low fat,104,30,walking
13,low fat,90,1,walking
13,low fat,92,15,walking
13,low fat,93,30,walking
14,low fat,95,1,walking
14,low fat,96,15,walking
14,low fat,100,30,walking
15,low fat,89,1,walking
15,low fat,96,15,walking
15,low fat,95,30,walking
16,no fat,84,1,walking
16,no fat,86,15,walking
16,no fat,89,30,walking
17,no fat,103,1,walking
17,no fat,109,15,walking
17,no fat,90,30,walking
18,no fat,92,1,walking
18,no fat,96,15,walking
18,no fat,101,30,walking
19,no fat,97,1,walking
19,no fat,98,15,walking
19,no fat,100,30,walking
20,no fat,102,1,walking
20,no fat,104,15,walking
20,no fat,103,30,walking
21,low fat,93,1,running
21,low fat,98,15,running
21,low fat,110,30,running
22,low fat,98,1,running
22,low fat,104,15,running
22,low fat,112,30,running
23,low fat,98,1,running
23,low fat,105,15,running
23,low fat,99,30,running
24,low fat,87,1,running
24,low fat,132,15,running
24,low fat,120,30,running
25,low fat,94,1,running
25,low fat,110,15,running
25,low fat,116,30,running
26,no fat,95,1,running
26,no fat,126,15,running
26,no fat,143,30,running
27,no fat,100,1,running
27,no fat,126,15,running
27,no fat,140,30,running
28,no fat,103,1,running
28,no fat,124,15,running
28,no fat,140,30,running
29,no fat,94,1,running
29,no fat,135,15,running
29,no fat,130,30,running
30,no fat,99,1,running
30,no fat,111,15,running
30,no fat,150,30,running
